id,user,likes,dislikes,followers
2,skilmurray1,2108,330,15495
4,mmcsporrin3,2095,2893,19656
5,htacker4,2682,3091,19224
9,mlumly8,2852,1109,16614
11,bdurstona,2778,1108,17283
13,hfenlonc,2275,2501,17848
17,dgifkinsg,2795,2954,16965
19,dmayoi,2093,1577,18206
23,zfurseym,2081,1395,11331
26,pmingop,2106,2226,19250
32,nthurlbeckv,2238,3011,11615
34,nlearnedx,2270,713,17617
39,jdeackes12,2570,3175,10939
43,tpfeffer16,2501,1052,18392
44,ojanu17,2970,2456,16427
45,jdressell18,2592,2771,15476
47,srowett1a,2216,1121,11960
48,ahodgins1b,2221,2753,12677
49,mboycott1c,2872,3140,15746
54,hnairns1h,2311,1977,14277
55,ctabour1i,2006,1173,19424
58,kmeineken1l,2496,3202,19985
60,cburder1n,2030,2020,10666
63,cgossling1q,2957,1333,13755
64,snoller1r,2848,3065,19836
65,cfriday1s,2013,2213,15744
66,eantusch1t,2718,1952,19176
68,svasin1v,2503,437,12770
69,gletts1w,2770,1283,12280
71,tmckeaney1y,2634,1335,12073
72,mlorden1z,2158,2497,11324
76,mgerriet23,2830,2279,13130
77,mlovatt24,2496,2762,19367
78,pboyack25,2681,388,14158
81,lnorcliff28,2674,1537,19729
82,rphilp29,2441,1085,17799
86,choggin2d,2322,821,15081
89,cgrimsdell2g,2728,1118,18806
90,malexis2h,2926,599,16395
92,udubock2j,2197,2637,19395
93,dgoracci2k,2085,1755,13338
97,gmacsharry2o,2673,2474,14783
100,bgreser2r,2680,905,11270
